nohup: ignoring input
Using device: cuda
=> using dataset 'Snow100K'
=> creating denoising-diffusion model...
=> evaluating outdoor snow100K test set...
50000
=> loaded checkpoint '/home/louanqi/pycharmp/ckpts/Snow100K_ddpm.pth.tar' (epoch 1, step 1)
epoch:  1
step: 10, loss: 9202.6630859375, data time: 0.1914825439453125
step: 20, loss: 5808.3525390625, data time: 0.09078370897393477
step: 30, loss: 3660.643798828125, data time: 0.05954325610193713
step: 40, loss: 2542.494873046875, data time: 0.04435232358101087
step: 50, loss: 1802.1954345703125, data time: 0.03536532363113092
step: 60, loss: 1844.21728515625, data time: 0.029400635573823573
step: 70, loss: 1539.0484619140625, data time: 0.025162593178127125
step: 80, loss: 1284.88134765625, data time: 0.022001003917259506
step: 90, loss: 1372.1856689453125, data time: 0.019552613912003764
step: 100, loss: 1202.5849609375, data time: 0.017594561432347153
step: 110, loss: 1268.8414306640625, data time: 0.01599738575996609
step: 120, loss: 909.1624145507812, data time: 0.014667482937083524
step: 130, loss: 1077.1644287109375, data time: 0.013542182685792908
step: 140, loss: 958.8309326171875, data time: 0.012581116861576657
step: 150, loss: 886.5682373046875, data time: 0.011748006679867739
step: 160, loss: 946.749755859375, data time: 0.01101863609170014
step: 170, loss: 860.990234375, data time: 0.010378548379480487
step: 180, loss: 838.3116455078125, data time: 0.009807638615869276
step: 190, loss: 968.6014404296875, data time: 0.009297509672780516
step: 200, loss: 730.9278564453125, data time: 0.008838688308869176
step: 210, loss: 807.4544067382812, data time: 0.00842535324644244
step: 220, loss: 758.8782958984375, data time: 0.00804856052137401
step: 230, loss: 737.4963989257812, data time: 0.007703947708596308
step: 240, loss: 660.809814453125, data time: 0.0073879463403294775
step: 250, loss: 554.443359375, data time: 0.007097932708311273
step: 260, loss: 585.93603515625, data time: 0.0068298840614819615
step: 270, loss: 633.544189453125, data time: 0.006581691117978007
step: 280, loss: 585.2569580078125, data time: 0.006351743547719867
step: 290, loss: 550.5924072265625, data time: 0.006138395685638111
step: 300, loss: 556.2364501953125, data time: 0.0059387604129752984
step: 310, loss: 705.632568359375, data time: 0.005751528786224069
step: 320, loss: 625.381103515625, data time: 0.005576078420896142
step: 330, loss: 646.0570068359375, data time: 0.005413632987118057
step: 340, loss: 579.3446044921875, data time: 0.0052585967522455175
step: 350, loss: 568.9526977539062, data time: 0.0051123638207727995
step: 360, loss: 508.864013671875, data time: 0.004974751087284354
step: 370, loss: 619.2702026367188, data time: 0.004844466522134093
step: 380, loss: 539.4974365234375, data time: 0.004722022129552031
step: 390, loss: 476.0494384765625, data time: 0.004605098371334125
step: 400, loss: 548.5797729492188, data time: 0.004494971798774891
step: 410, loss: 460.54302978515625, data time: 0.004388876241110356
step: 420, loss: 367.9039306640625, data time: 0.004288117470206395
step: 430, loss: 429.68206787109375, data time: 0.004192052743373773
step: 440, loss: 455.17340087890625, data time: 0.00410091198115251
step: 450, loss: 562.25830078125, data time: 0.004012970191598735
step: 460, loss: 504.5552978515625, data time: 0.003928930930841982
step: 470, loss: 454.34912109375, data time: 0.0038488922851172085
step: 480, loss: 305.504638671875, data time: 0.0037726679027453845
step: 490, loss: 564.6539306640625, data time: 0.003699502574397986
step: 500, loss: 386.3846130371094, data time: 0.0036286548048795344
step: 510, loss: 324.66046142578125, data time: 0.0035630321690047887
step: 520, loss: 427.2310485839844, data time: 0.0034976285776421286
step: 530, loss: 370.2060852050781, data time: 0.0034343930408499415
step: 540, loss: 361.97064208984375, data time: 0.0033738462734753216
step: 550, loss: 376.0625305175781, data time: 0.0033151634403916657
step: 560, loss: 419.8282775878906, data time: 0.00325887744883092
step: 570, loss: 308.4719543457031, data time: 0.0032044797873874123
step: 580, loss: 344.5665283203125, data time: 0.00315198214766481
step: 590, loss: 365.2449645996094, data time: 0.003101028286945233
step: 600, loss: 276.41693115234375, data time: 0.0030520065797987285
